tanggal,jam,deskripsi_transaksi,kategori,nominal,tipe_transaksi,metode_pembayaran,lokasi_merchant,status_transaksi,device_os,catatan_user
4/21/2024,16:21,belanja di blibli,Belanja,,Pengeluaran,BCA Virtual Account,,Gagal,iOS 17,
3/29/2023,15:57,tagihan kartu kredit,,562000.0,Pengeluaran,Cash,tangsel,Gagal,Windows Web,
2/23/2023,14:44,Alokasi Investasi Amartha,Investasi,,Pengeluaran,Mandiri,,Berhasil,Windows Web,
7/22/2023,22:03,UANG MENANG LOMBA,Pendapatan,6933000.0,Pemasukan,OVO,JAKARTA,Berhasil,Windows Web,
1/22/2023,11:03,TOKEN LISTRIK,Tagihan,,Pengeluaran,QRIS,,Berhasil,iOS 16,
2/23/2024,1:12,cuci cetak foto,Lain-lain,85000.0,Pengeluaran,ovo,,Berhasil,iOS 16,
8/9/2023,17:22,iuran keamanan kos,Tempat Tinggal,2812000.0,Pengeluaran,GOPAY,,Berhasil,Windows Web,
1/23/2024,10:01,Uang Hasil Nemu,Pendapatan,499000.0,Pemasukan,BCA Virtual Account,,Berhasil,Android 12,
9/25/2023,3:44,Isi Bensin Pertalite,Transportasi,28000.0,Pengeluaran,CASH,Depok,Berhasil,Android 13,ukuran XL
4/19/2023,23:01,selai,Belanja,1348000.0,Pengeluaran,Mandiri,Tangerang,Berhasil,Android 12,
10/7/2023,7:24,JILID SKRIPSI,Lain-lain,96000000.0,Pengeluaran,GOPAY,Bandung,Berhasil,Windows Web,jangan pedes
17/02/2024,21:02,konsul halodoc,Kesehatan,20000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Windows Web,
2/28/2023,13:01,bli token kos,Tempat Tinggal,2530000.0,Pengeluaran,QRIS,,Berhasil,Windows Web,
5/5/2024,13:55,UANG SAKU,Pendapatan,7547000.0,Pemasukan,ovo,Online,Berhasil,iOS 16,titip satpam
11/29/2023,23:16,Topup Kartu Flazz,Transportasi,5000.0,Pengeluaran,ovo,Depok,Berhasil,Windows Web,
7/8/2023,22:07,CASHBACK TOKOPEDIA,Pendapatan,6283000.0,Pemasukan,QRIS,Depok,Berhasil,iOS 16,
8/6/2023,21:56,grabfood nasi uduk kebon kacang,,118000.0,Pengeluaran,QRIS,Tangerang,Berhasil,iOS 17,
11/25/2023,0:32,pajak motor,Lain-lain,-67000.0,Pengeluaran,BCA Virtual Account,Surabaya,Berhasil,Android 12,
10/14/2023,22:28,Investasi Reksadana Obligasi,Investasi,2023000.0,Pengeluaran,Gopay,Online,Berhasil,Android 13,
7/1/2023,8:09,langganan chatgpt,Hiburan,202000.0,Pengeluaran,Mandiri,,Berhasil,iOS 17,ukuran XL
10/1/2024,17:26,shopeefood seafood ayu,Konsumsi,68000.0,Pengeluaran,Gopay,,Pending,Windows Web,
9/13/2023,22:39,deposit kos,Tempat Tinggal,,Pengeluaran,qris,Surabaya,Berhasil,Android 12,
5/10/2024,13:10,BAYAR BPJS,Tagihan,752000.0,Pengeluaran,CASH,Tangerang,Gagal,iOS 16,
19/04/2023,22:43,Ongkos Cuci Mobil,Transportasi,129000.0,Pengeluaran,qris,Online,Berhasil,Windows Web,
4/11/2023,7:37,pulsa indosat,Tagihan,669000.0,Pengeluaran,Gopay,,Gagal,Windows Web,
2/28/2023,21:49,Pesan Goride Ke Warkop,Transportasi,,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 16,
28/03/2023,11:33,Uang Saku,Pendapatan,9471000.0,Pemasukan,BCA Virtual Account,Bandung,Gagal,iOS 17,
8/27/2023,17:37,Grabfood Gelar Waroeng,Konsumsi,62000.0,Pengeluaran,Cash,,Berhasil,Windows Web,
4/8/2024,2:21,Makan Burjo,Konsumsi,123000.0,Pengeluaran,ovo,Surabaya,Berhasil,iOS 16,
8/30/2023,6:36,dokter gigi,Kesehatan,438000.0,Pengeluaran,QRIS,Surabaya,Gagal,Android 13,
1/16/2024,18:31,IPL Apartemen,Tempat Tinggal,301000.0,Pengeluaran,ovo,Jakarta,Berhasil,iOS 16,
9/14/2023,22:42,iuran rt,Tagihan,154000.0,Pengeluaran,QRIS,,Berhasil,iOS 16,
3/13/2024,2:27,Honor Asisten,Pendapatan,5913000.0,Pemasukan,qris,jkt,Berhasil,iOS 17,
22/08/2023,13:09,parkir supermarket,,56000.0,Pengeluaran,CASH,Bdg,Gagal,Android 12,
1/3/2023,0:10,Ongkos Cuci Mobil,Transportasi,51000.0,Pengeluaran,CASH,,Berhasil,Android 13,
2/24/2024,13:58,Main Biliar,Hiburan,114000.0,Pengeluaran,GOPAY,Online,Berhasil,Windows Web,
2/4/2024,3:49,bayar kos,Tempat Tinggal,755000.0,Pengeluaran,qris,,Berhasil,Windows Web,kembalian ambil aja
10/8/2023,1:23,INVESTREE,,1409000.0,Pengeluaran,BCA Virtual Account,Tangerang,Berhasil,Android 13,
11/4/2023,7:28,TAGIHAN KARTU KREDIT,Tagihan,873000.0,Pengeluaran,GOPAY,JAKARTA,Berhasil,iOS 17,
25/06/2023,0:50,cashback ovo,Pendapatan,-4332000.0,Pemasukan,ovo,,Berhasil,Windows Web,
4/15/2023,10:11,Iuran Keamanan,Tagihan,722000.0,Pengeluaran,CASH,,Berhasil,Android 12,
5/25/2023,6:04,langganan chatgpt,Hiburan,462000.0,Pengeluaran,Mandiri,Bdg,Berhasil,Windows Web,
7/15/2023,11:32,langganan netflix,Hiburan,,Pengeluaran,QRIS,,Berhasil,Windows Web,
1/31/2023,22:04,topup roblox,Hiburan,451000.0,Pengeluaran,OVO,Depok,Berhasil,Android 12,segera proses ya
1/31/2024,16:34,angpao,Pendapatan,,Pemasukan,QRIS,,Berhasil,Android 13,
3/13/2024,16:38,Jajan Cuanki,Konsumsi,,Pengeluaran,ovo,Bandung,Berhasil,Windows Web,
9/2/2023,10:14,Investasi Saham Bbni,Investasi,1338000.0,Pengeluaran,Cash,Surabaya,Berhasil,Android 13,
8/16/2023,1:39,Beli Shuttlecock,Kesehatan,26000.0,Pengeluaran,Cash,,Berhasil,iOS 16,
12/17/2023,17:42,BELI SUNSCREEN,,882000.0,Pengeluaran,ovo,,Berhasil,iOS 17,
4/21/2024,12:40,Langganan iCloud,,390000.0,Pengeluaran,qris,,Berhasil,Android 12,segera proses ya
5/2/2023,12:07,Alokasi Investasi Tanamduit,Investasi,1466000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 17,
28/01/2024,16:58,Beli Bensin Shell Super,Transportasi,208000.0,Pengeluaran,Cash,Online,Berhasil,Android 12,segera proses ya
9/18/2023,10:06,TIKET MRT,,153000.0,Pengeluaran,qris,Surabaya,Berhasil,Windows Web,
4/16/2024,23:24,Pengeluaran Tambal Ban,Transportasi,197000.0,Pengeluaran,OVO,,Berhasil,iOS 17,
12/15/2023,13:34,bunga deposito,,4401000.0,Pemasukan,ovo,Depok,Berhasil,Android 13,
6/27/2023,1:13,cardano,,614000.0,Pengeluaran,GOPAY,,Berhasil,Android 13,
6/21/2023,11:44,sedekah masjid,Lain-lain,83000.0,Pengeluaran,qris,JAKARTA,Berhasil,Android 13,
12/30/2023,9:07,gofood mie tarik,Konsumsi,247000.0,Pengeluaran,qris,Depok,Berhasil,iOS 17,
3/2/2024,14:17,Beli Sarung Tangan,Belanja,1326000.0,Pengeluaran,Gopay,Surabaya,Pending,Windows Web,
1/30/2024,5:19,MAXIM KE KOS,,169000.0,Pengeluaran,BCA Virtual Account,Jakarta,Berhasil,Windows Web,
10/5/2023,2:58,main bowling,,244000.0,Pengeluaran,GOPAY,,Berhasil,Windows Web,
4/14/2023,6:55,shopeefood mako,Konsumsi,131000.0,Pengeluaran,GOPAY,Surabaya,Berhasil,iOS 17,
2/8/2024,4:59,UANG KEMBALIAN,Pendapatan,706000.0,Pemasukan,OVO,,Gagal,iOS 17,
8/24/2023,5:44,matras yoga,Kesehatan,,Pengeluaran,Cash,tangsel,Berhasil,Windows Web,ukuran XL
8/7/2023,14:43,Pengeluaran Tambal Ban,Transportasi,,Pengeluaran,GOPAY,Jakarta,Berhasil,Android 13,
2/8/2023,6:36,Topup E-Toll Untuk Tol Cipularang,Transportasi,187000.0,Pengeluaran,Mandiri,Bdg,Berhasil,Android 12,
2/16/2024,3:00,Investasi Saham Bmri,Investasi,1479000.0,Pengeluaran,Mandiri,Bdg,Berhasil,iOS 16,
3/23/2023,18:49,LAUNDRY SEPATU,Tempat Tinggal,44000.0,Pengeluaran,Gopay,Bdg,Gagal,Android 12,warna hitam
4/19/2023,14:25,Nabung Saham Arto,Investasi,,Pengeluaran,qris,,Berhasil,Windows Web,
10/25/2023,2:02,ganti oli,,187000.0,Pengeluaran,Gopay,tangsel,Gagal,Windows Web,
3/30/2024,14:24,Nabung Saham Bmri,Investasi,4863000.0,Pengeluaran,Gopay,Online,Berhasil,Android 12,warna hitam
5/14/2023,16:07,Admin BRI,Lain-lain,434000.0,Pengeluaran,Gopay,Jakarta,Berhasil,Windows Web,
5/16/2023,2:56,sewa lapangan voli,Kesehatan,309000.0,Pengeluaran,CASH,JAKARTA,Berhasil,iOS 17,
28/08/2023,18:04,Bayar Tol Cipularang,Transportasi,-250000000.0,Pengeluaran,qris,jkt,Pending,Android 12,
16/02/2024,8:29,Jasa Cuci Mobil,Transportasi,20000.0,Pengeluaran,qris,Surabaya,Berhasil,Windows Web,
6/27/2023,10:46,Photobox,Hiburan,20000.0,Pengeluaran,QRIS,Surabaya,Berhasil,Windows Web,warna hitam
2/12/2024,21:48,kaos oversize,,944000.0,Pengeluaran,BCA Virtual Account,tangsel,Berhasil,iOS 16,
9/7/2023,23:38,Pengeluaran Tiket Lrt,Transportasi,131000.0,Pengeluaran,CASH,Jakarta,Gagal,iOS 16,
7/7/2023,9:02,uang hasil nemu,Pendapatan,533000.0,Pemasukan,Gopay,,Berhasil,iOS 17,ukuran XL
4/11/2023,13:48,Beli Reksadana Obligasi,,3855000.0,Pengeluaran,Cash,,Berhasil,iOS 17,jangan pedes
1/5/2024,4:29,FREELANCE WEB,Pendapatan,,Pemasukan,OVO,,Berhasil,Android 13,
2/5/2023,10:05,Checkout Shopee,Belanja,1304000.0,Pengeluaran,OVO,jkt,Berhasil,Android 13,
3/8/2023,10:55,Beli Kasur,Tempat Tinggal,1392000.0,Pengeluaran,Cash,Bandung,Berhasil,iOS 16,warna hitam
19/04/2023,10:34,maxim ke warkop,,,Pengeluaran,Cash,,Berhasil,Windows Web,
3/27/2024,15:12,gofood kopi kulo,Konsumsi,131000.0,Pengeluaran,GOPAY,Depok,Pending,Android 13,
10/12/2023,11:25,pempek,Konsumsi,113000.0,Pengeluaran,Mandiri,,Berhasil,Windows Web,
6/8/2023,2:19,Investasi Di Amartha,Investasi,2744000.0,Pengeluaran,ovo,,Gagal,iOS 16,segera proses ya
10/15/2023,17:55,bibit,,3724000.0,Pengeluaran,qris,,Berhasil,Android 13,
1/1/2024,19:38,Biaya Tiket Lrt,Transportasi,106000.0,Pengeluaran,ovo,Jakarta,Berhasil,Android 12,
3/6/2024,14:29,obat flu,Kesehatan,270000.0,Pengeluaran,ovo,Tangerang,Berhasil,Android 12,
3/19/2023,1:46,UANG AIR KOS,Tempat Tinggal,1907000.0,Pengeluaran,OVO,SBY,Berhasil,iOS 16,
8/27/2023,2:38,UANG MENANG LOMBA,Pendapatan,714000.0,Pemasukan,ovo,Online,Berhasil,Android 13,
8/14/2023,8:19,Deposit Aset Crypto Pintu,Investasi,3384000.0,Pengeluaran,ovo,tangsel,Gagal,iOS 17,
5/4/2024,18:04,Pendanaan Modalku,Investasi,,Pengeluaran,OVO,,Berhasil,Android 13,
12/30/2023,11:10,uang menang lomba,Pendapatan,,Pemasukan,ovo,Tangerang,Berhasil,iOS 16,kembalian ambil aja
31/08/2023,22:38,uang sampah kos,Tempat Tinggal,1337000.0,Pengeluaran,OVO,Depok,Berhasil,iOS 17,
8/18/2023,16:39,sedekah masjid,Lain-lain,54000.0,Pengeluaran,Mandiri,,Berhasil,iOS 16,
7/15/2023,17:07,checkout shopee,Belanja,1149000.0,Pengeluaran,Gopay,Surabaya,Pending,iOS 16,
7/4/2023,22:12,iuran kematian,Lain-lain,43000.0,Pengeluaran,Cash,Online,Berhasil,iOS 17,
11/18/2023,5:23,ADMIN MANDIRI,Lain-lain,263000.0,Pengeluaran,Cash,,Berhasil,Android 12,
4/10/2023,8:06,Cuci Cetak Foto,Lain-lain,413000.0,Pengeluaran,Mandiri,,Berhasil,iOS 16,
1/28/2023,7:05,tarik tunai,Lain-lain,,Pengeluaran,QRIS,tangsel,Pending,iOS 16,
3/24/2024,19:36,deposit kos,Tempat Tinggal,2913000.0,Pengeluaran,qris,SBY,Berhasil,Android 13,
3/9/2023,2:49,CHECKOUT TOKOPEDIA,Belanja,984000.0,Pengeluaran,Mandiri,tangsel,Gagal,Windows Web,jangan pedes
3/10/2023,22:57,Beli Raket,Kesehatan,303000.0,Pengeluaran,BCA Virtual Account,tangsel,Berhasil,Android 12,
5/14/2024,3:59,checkout tiktok shop,Belanja,,Pengeluaran,GOPAY,JAKARTA,Berhasil,Android 13,warna hitam
2/20/2023,9:02,beli tongseng,,155000.0,Pengeluaran,CASH,Online,Gagal,iOS 16,
7/5/2023,0:20,Ongkos Tiket Mrt,Transportasi,229000.0,Pengeluaran,qris,Online,Berhasil,iOS 17,
26/07/2023,0:02,Ongkos Tiket Lrt,Transportasi,6000.0,Pengeluaran,OVO,Depok,Berhasil,iOS 16,
9/11/2023,18:42,tagihan pdam,Tagihan,918000.0,Pengeluaran,Gopay,JAKARTA,Gagal,iOS 17,
10/28/2023,9:27,BELI LEMARI,Tempat Tinggal,,Pengeluaran,OVO,tangsel,Berhasil,iOS 16,
11/13/2023,10:07,Isi Saldo Flazz,Transportasi,201000.0,Pengeluaran,Gopay,JAKARTA,Berhasil,iOS 16,
8/25/2023,2:21,SHOPEEFOOD AYAM BLENGER,Konsumsi,209000.0,Pengeluaran,OVO,Tangerang,Pending,Windows Web,
13/08/2023,4:46,Patungan Makan,Lain-lain,,Pengeluaran,CASH,,Berhasil,Android 12,kembalian ambil aja
7/26/2023,16:59,cek kolesterol,Kesehatan,296000.0,Pengeluaran,ovo,SBY,Berhasil,iOS 17,
3/3/2023,13:30,Belanja di Alfamart,Belanja,1262000.0,Pengeluaran,CASH,,Berhasil,iOS 17,
10/9/2023,15:55,Bayar Tol Cipularang,Transportasi,167000.0,Pengeluaran,CASH,jkt,Berhasil,iOS 17,
5/23/2023,17:22,cashback,Pendapatan,2604000.0,Pemasukan,GOPAY,JAKARTA,Berhasil,Android 12,segera proses ya
5/6/2024,19:59,iuran rt,Tagihan,335000.0,Pengeluaran,Cash,Bandung,Berhasil,iOS 17,
28/03/2023,17:27,cek kolesterol,Kesehatan,416000.0,Pengeluaran,BCA Virtual Account,Surabaya,Berhasil,Android 12,
11/14/2023,15:37,bli sbn,,2960000.0,Pengeluaran,ovo,,Berhasil,Android 12,
5/14/2024,17:29,sewa kontrakan,Tempat Tinggal,-672000.0,Pengeluaran,Gopay,Tangerang,Berhasil,iOS 17,
2/14/2023,16:55,jual barang bekas,Pendapatan,1213000.0,Pemasukan,BCA Virtual Account,Jakarta,Berhasil,iOS 16,
3/23/2024,4:01,TOPUP GENSHIN,Hiburan,108000.0,Pengeluaran,qris,,Berhasil,iOS 17,
3/3/2024,16:56,Pendanaan Ajaib,Investasi,4525000.0,Pengeluaran,GOPAY,tangsel,Berhasil,Android 12,
25/02/2024,20:46,patungan listrik kos,Tempat Tinggal,58000.0,Pengeluaran,GOPAY,,Berhasil,iOS 17,
1/22/2023,2:55,main biliar,Hiburan,205000.0,Pengeluaran,Gopay,,Berhasil,Android 13,ukuran XL
12/4/2024,15:04,uang duka,Lain-lain,26000.0,Pengeluaran,CASH,jkt,Berhasil,Android 13,
5/6/2024,15:17,PATUNGAN MAKAN,Lain-lain,475000.0,Pengeluaran,qris,Online,Berhasil,iOS 17,
1/16/2024,23:19,Karaoke,Hiburan,213000.0,Pengeluaran,CASH,Tangerang,Berhasil,iOS 17,
8/8/2023,2:06,Iuran RT,Tagihan,412000.0,Pengeluaran,Mandiri,SBY,Berhasil,iOS 17,
2/21/2024,4:12,Nabung Saham Bmri,Investasi,,Pengeluaran,GOPAY,,Gagal,Windows Web,
11/22/2023,5:06,ongkir anteraja,,337000.0,Pengeluaran,qris,SBY,Gagal,Android 13,
1/9/2023,20:41,admin bca,,,Pengeluaran,qris,tangsel,Gagal,iOS 16,ukuran XL
5/17/2023,4:02,google one,Tagihan,452000.0,Pengeluaran,Cash,,Berhasil,Android 12,
2/11/2023,6:30,Beli Saham Goto,Investasi,986000.0,Pengeluaran,Mandiri,SBY,Berhasil,iOS 16,
5/2/2023,23:21,konsul alodokter,Kesehatan,216000000.0,Pengeluaran,Cash,,Berhasil,Android 12,
12/20/2023,0:50,batagor,Konsumsi,64000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Android 13,
9/1/2024,19:29,google one,,,Pengeluaran,BCA Virtual Account,Tangerang,Berhasil,Android 13,jangan pedes
24/05/2023,14:12,shopeefood family mart,Konsumsi,89000.0,Pengeluaran,QRIS,,Berhasil,Android 13,
2/9/2024,10:14,Isi Bensin Vivo Revvo 90,Transportasi,,Pengeluaran,Gopay,Bdg,Berhasil,iOS 17,titip satpam
3/30/2023,2:56,belanja di informa,Belanja,670000.0,Pengeluaran,GOPAY,jkt,Berhasil,Android 13,
15/02/2024,3:09,uang lembur,Pendapatan,1273000000.0,Pemasukan,Mandiri,,Berhasil,Android 12,
2/22/2024,7:28,konser musik,Hiburan,368000.0,Pengeluaran,Mandiri,Depok,Gagal,Android 12,
8/12/2023,11:24,ipl apartemen,Tempat Tinggal,1221000.0,Pengeluaran,Mandiri,Bandung,Gagal,Android 12,
11/8/2023,12:09,shopeefood ayam blenger,Konsumsi,143000.0,Pengeluaran,qris,,Berhasil,iOS 16,
3/3/2023,21:14,voucher game,Hiburan,320000.0,Pengeluaran,GOPAY,Bandung,Berhasil,Android 12,titip satpam
9/27/2023,2:32,sedekah,,86000.0,Pengeluaran,OVO,Jakarta,Berhasil,iOS 16,
9/1/2023,14:12,DOMINO'S,Konsumsi,166000.0,Pengeluaran,qris,,Berhasil,iOS 16,
1/15/2023,6:36,Topup Free Fire,Hiburan,,Pengeluaran,Cash,,Berhasil,Android 12,
8/18/2023,21:17,isi e-money,,,Pengeluaran,Mandiri,Depok,Berhasil,iOS 17,
20/07/2023,3:57,langganan spotify,Hiburan,43000.0,Pengeluaran,OVO,Depok,Berhasil,iOS 17,
9/27/2023,19:28,Nyicil Skincare,Belanja,900000.0,Pengeluaran,Mandiri,,Berhasil,Android 12,
8/31/2023,22:34,patungan listrik kos,Tempat Tinggal,1610000.0,Pengeluaran,Mandiri,,Berhasil,Android 13,
1/5/2023,12:35,janji jiwa,Konsumsi,172000.0,Pengeluaran,QRIS,Depok,Berhasil,Windows Web,
9/6/2023,5:19,shopeefood burger king,Konsumsi,222000.0,Pengeluaran,Gopay,Bandung,Gagal,Android 12,
2/8/2023,14:21,belanja di ikea,Belanja,523000.0,Pengeluaran,QRIS,,Pending,iOS 17,
6/10/2023,14:45,bli mie instan,,344000.0,Pengeluaran,CASH,Bdg,Berhasil,Android 13,
4/25/2023,12:02,dumbbell,Kesehatan,,Pengeluaran,qris,Depok,Gagal,Android 13,kembalian ambil aja
23/12/2023,12:37,BELI CELANA CHINO,Belanja,1433000.0,Pengeluaran,qris,Surabaya,Berhasil,iOS 16,
5/25/2023,15:07,bli seblak ceker,Konsumsi,189000.0,Pengeluaran,qris,Surabaya,Pending,iOS 16,
9/24/2023,23:02,PHOTOBOX,Hiburan,,Pengeluaran,OVO,tangsel,Berhasil,Android 13,
3/21/2023,3:57,DENDA PERPUS,Lain-lain,375000.0,Pengeluaran,GOPAY,Tangerang,Berhasil,Android 12,
10/11/2023,4:19,main bowling,Hiburan,300000.0,Pengeluaran,QRIS,Tangerang,Berhasil,Android 12,
7/31/2023,5:28,Biaya Cuci Mobil,Transportasi,130000.0,Pengeluaran,qris,JAKARTA,Berhasil,Windows Web,
2/20/2024,2:51,makan ayam blenger,Konsumsi,68000.0,Pengeluaran,BCA Virtual Account,Surabaya,Berhasil,iOS 16,ukuran XL
1/12/2024,22:01,pulsa indihome,,380000.0,Pengeluaran,QRIS,,Berhasil,Windows Web,
7/13/2023,8:50,panadol,,337000.0,Pengeluaran,BCA Virtual Account,Surabaya,Berhasil,Android 13,
4/27/2023,17:16,nyicil keyboard,,429000.0,Pengeluaran,Mandiri,,Berhasil,Windows Web,
1/1/2023,13:07,Isi Saldo E-Money,Transportasi,123000.0,Pengeluaran,OVO,JAKARTA,Berhasil,Windows Web,
3/17/2024,21:51,Nabung Reksadana Obligasi,Investasi,4945000.0,Pengeluaran,qris,,Berhasil,Android 12,
29/04/2023,6:47,uang lembur,,4857000.0,Pemasukan,CASH,Online,Berhasil,Windows Web,kembalian ambil aja
10/11/2023,16:49,tiket lrt,,71000.0,Pengeluaran,QRIS,,Berhasil,Android 12,kembalian ambil aja
