tanggal,jam,deskripsi_transaksi,kategori,nominal,tipe_transaksi,metode_pembayaran,lokasi_merchant,status_transaksi,device_os,catatan_user,Nama Toko,Lokasi Toko,Terjual,Jumlah Ulasan,Rating,Diskon (%),Produk URL,id,review,rating,createdAt,lastComment,qtyItem,orderedAt,tagsData,replayComment,timeReplayComment
12/8/2023,14:55,Pengeluaran Uang Kas Kelas Bendahara Dan Sumbangan Rt 17An,Lain-lain,316000.0,Pengeluaran,Cash,Surabaya,Berhasil,iOS 16,,,,,,,,,,,,,,,,,,
,,Order lipmatte natura soft,Investasi,93750.0,,,,,,,natura.clk,Kab. Bandung,5 terjual,1 ulasan,5.0,25.0,https://www.tokopedia.com/naturaclk/lipmatte-natura-soft-love,,,,,,,,,,
11/25/2022,21:05,Pelunasan Kredivo Limit Baru Dan Kartu Kredit Bca Everyday,Tagihan,78693.0,Pengeluaran,Dana,Online,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
10/29/2023,08:48,Alokasi Emas Antam 1 Gram Pas Target 1 Miliar Pensiun,Investasi,227519.0,Pengeluaran,Cash,Tangerang,Berhasil,iOS 17,buat laporan,,,,,,,,,,,,,,,,,
,,beli (paket komplit) gorden,Belanja,35574.0,,,,,,,Komplit Gorden Bandung,Kab. Bandung,100+ terjual,100 ulasan,4.7,2.0,https://www.tokopedia.com/search?st=product&q=paket+komplit+gorden+pita+kupu,,,,,,,,,,
4/28/2023,16:44,"Cicil Tiap Bulan Disiplin, Dollar Cost Averaging Saham Tlkm Telkom",Investasi,643533.0,Pengeluaran,ShopeePay,Surabaya,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
5/3/2022,21:30,Nyumbang Sumbangan Rt 17An Wajib Banget Dibayar,Lain-lain,3836.0,Pengeluaran,Cash,Depok,Berhasil,Android 13,pake promo,,,,,,,,,,,,,,,,,
12/26/2024,19:18,Nambal Angkot 06 Biar Gak Telat Kelas,Transportasi,72244.0,Pengeluaran,Dana,Bandung,Pending,Android 14,pake promo,,,,,,,,,,,,,,,,,
,,Kalung Salib Moissanite,Belanja,920000.0,,,,,,,Jewelry Store,Jakarta,0 terjual,0 ulasan,5.0,0.0,https://www.tokopedia.com/search?q=Kalung+Salib+Moissanite,,,,,,,,,,
,,16 inch SARUNG,Belanja,199900.0,,,,,,,Dkd Shop78,Jakarta Selatan,2 terjual,2 ulasan,5.0,0.0,https://www.tokopedia.com/dkdshop78/16-inch-sarung-macbook-laptop-grey-dark-grey-15-6-inch,,,,,,,,,,
1/28/2024,11:38,Transaksi Lainnya,,1447000000.0,Pengeluaran,BCA Virtual Account,,Gagal,iOS 16,,,,,,,,,,,,,,,,,,
4/28/2024,21:33,Transaksi Lainnya,,1721000.0,Pengeluaran,Cash,,Berhasil,Windows Web,,,,,,,,,,,,,,,,,,
8/25/2023,0:30,Obat Bodrex Extra Lagi Pusing Berat Nugas,Kesehatan,291000.0,Pengeluaran,QRIS,Bandung,Pending,iOS 16,kembalian ambil aja,,,,,,,,,,,,,,,,,
,,Order Masker Medis Surgical /,Kesehatan,9899.0,,,,,,,Tokopedia Merchant,Kota Administrasi Jakarta Barat,3rb+ terjual,0 ulasan,4.4,23.0,https://www.tokopedia.com/search?st=product&q=Masker+Medis+Surgical+Disposable,,,,,,,,,,
,,nasi + ayam deket rumah,Konsumsi,145000.0,Pengeluaran,,,,,,,,,,,,,44e1b092-27cd-4d03-817a-4d33bf250f2c,porsi aynya dikit.ayamnya tulang semua dagingnya sedikit,2.0,2021-09-05T14:22:07.051257+07:00,,2.0,2021-09-04T14:47:18.228696Z,CANNED_RESPONSE_PORTION,,
3/26/2022,07:18,Pengeluaran Ongkir Anteraja Same Day,Lain-lain,21089.0,Pengeluaran,Cash,Surabaya,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
3/10/2023,1:59,Mie Ayam Pangsit Yamin Mumpung Lewat,Konsumsi,210000.0,Pengeluaran,Gopay,Bdg,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
1/24/2023,22:12,Topup Token Listrik Pln 100K Dan Iuran Rt/Rw Komplek,Tagihan,69810.0,Pengeluaran,ShopeePay,Depok,Berhasil,Android 12,buat laporan,,,,,,,,,,,,,,,,,
21/02/2023,11:17,Bayar Kapur Barus Kamar Mandi Mumpung Biar Bersih Wangi,Tempat Tinggal,691000.0,Pengeluaran,CASH,Bandung,Pending,Android 12,titip satpam,,,,,,,,,,,,,,,,,
,,Order Skip Hop Bandana Buddies,Transportasi,216750.0,,,,,,,Toysgraphy,Jakarta Barat,2 terjual,0 ulasan,5.0,15.0,https://www.tokopedia.com/toysgraphy/skip-hop-bandana-buddies-activity-toy-llama-skiphop-mainan-teethers,,,,,,,,,,
6/25/2023,5:24,Biaya Vitamin C Ipi Botol Kecil Pegel-Pegel Abis Olahraga,Kesehatan,,Pengeluaran,qris,Online,Berhasil,Windows Web,warna hitam,,,,,,,,,,,,,,,,,
,,tadi pesen combo hemat via gofood,Konsumsi,97000.0,Pengeluaran,,,,,,,,,,,,,84bf59fd-0243-4e8c-9a06-0a8528a920f9,"enaaaak bingitsss yg broadway, alhamdulillah cuma bayar 14rebuuu ☺️🙏",5.0,2021-06-06T16:36:35.351761+07:00,,1.0,2021-06-06T07:25:09.115569Z,CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
2/17/2024,20:21,Pesan Gojek Goride Dan Travel Baraya Jakarta Bandung,Transportasi,200000.0,Pengeluaran,qris,,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
,,Frame Kacamata TG,Belanja,120000.0,,,,,,,Optical World Lens,Jakarta Pusat,23 terjual,0 ulasan,5.0,0.0,https://www.tokopedia.com/opticalworldlens/frame-kacamata-tg-per,,,,,,,,,,
,,Nasi Goreng Tuna yang lagi viral di pinggir jalan,Konsumsi,29000.0,Pengeluaran,,,,,,,,,,,,,18c571be-d41c-41c8-bf5a-30d8d34a8e50,Enak bangettt sesuai request pedas asin. Porsinya banyakk heran royal bgt 🥰,5.0,2023-11-17T18:15:48.612913+07:00,,1.0,2023-11-16T13:13:03.158312Z,CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_VALUE,,
19/08/2023,1:27,Kripto Indodax Koin Solana Gaji Nyisa Sedikit,Investasi,3773000.0,Pengeluaran,Mandiri,Jakarta,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
6/20/2022,09:50,Konser Musik Indie Kalah Taruhan Bola,Hiburan,203405.0,Pengeluaran,Cash,Bekasi,Berhasil,Android 12,pake promo,,,,,,,,,,,,,,,,,
,,Beli Korek Api Jet Torch,Belanja,50000.0,,,,,,,SYAQILA OLEH OLEH HAJI,Jakarta Timur,80+ terjual,8 ulasan,5.0,17.0,https://www.tokopedia.com/syaqilaoleh/korek-api-jet-torch-power-pemantik-gold-lighter-bara-mancis-las,,,,,,,,,,
,,nitip telor dadar/ceplok di pinggir jalan,Konsumsi,33000.0,Pengeluaran,,,,,,,,,,,,,05e3b6f4-87b2-435f-b891-92d9c242a270,"Kalau bisa makanan jangan langsung diatas sterofoamnya, bahaya untuk kesehatan",5.0,2020-01-28T09:55:54.786+07:00,,3.0,2020-01-28T02:20:33.686564Z,,,
16/03/2023,11:37,Topup Portofolio Emas Antam 1 Gram Dan Bitcoin Btc,Investasi,686000.0,Pengeluaran,QRIS,SBY,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
,,Checkout sarung wadimor original,Belanja,1550000.0,,,,,,,Grosir Wadimor Surabaya,Surabaya,20+ terjual,20 ulasan,5.0,0.0,https://www.tokopedia.com/search?q=sarung%20wadimor%201%20kodi,,,,,,,,,,
6/1/2022,10:05,"Telat Sehari Kena Denda, Auto Debet Kredit Motor Beat",Tagihan,22962.0,Pengeluaran,Transfer Bank,Tangerang,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
,,earfun air pro,Belanja,669000.0,,,,,,,EarFun Official Store,Jakarta,100+ terjual,40 ulasan,4.9,0.0,https://www.tokopedia.com/earfun-official/earfun-air-pro-4i-noise-free-anc-tws-with-6-ai-enc-mic-for-clear-sound,,,,,,,,,,
,,Rocket 7,Konsumsi,102000.0,Pengeluaran,,,,,,,,,,,,,b367e372-3db7-4cbd-a8c1-c387ff1f6d56,biasanya ayam nya gede tp ini kecil + agak keras:( tapi oke kok,3.0,2019-08-18T11:38:35.512094+07:00,,1.0,2019-08-18T04:11:45.147929Z,CANNED_RESPONSE_PORTION CANNED_RESPONSE_VALUE,,
,,Checkout THIQLA - Gelang,Belanja,158000.0,,,,,,,THIQLA - Perhiasan Amanah,Jakarta Barat,500+ terjual,500 ulasan,4.9,0.0,https://www.tokopedia.com/thiqla-perhiasan,,,,,,,,,,
,,order jisulife handheld fan life1,Belanja,79000.0,,,,,,,JisuLife Official Store,Jakarta,7rb+ terjual,0 ulasan,5.0,42.0,https://www.tokopedia.com/jisulife-os/jisulife-handheld-fan-life1,,,,,,,,,,
,,grabfood seblak original cabang tangerang deket kantor,Konsumsi,125000.0,Pengeluaran,,,,,,,,,,,,,3f50b02b-e9ba-499e-a1b9-3cf4c707e852,"sepertinya porsinya lebih sedikit dan rasanya sedikit berbeda mungkin yg buat bumbu orang yg berbeda , tapi tetap enak :)",5.0,2020-06-26T13:50:53.682+07:00,,1.0,2020-06-25T13:18:15.262918Z,CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,,
12/11/2021,15:12,"Dapet Promo Murah, Sewa Vidio Premier Liga Inggris",Hiburan,98470.0,Pengeluaran,Dana,Online,Berhasil,iOS 16,,,,,,,,,,,,,,,,,,
2/5/2023,20:19,Bayar Cek Darah Lab Prodia,Kesehatan,216000.0,Pengeluaran,Cash,Bdg,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
,,Beli Lampu Sensor Gerak,Belanja,18430.0,,,,,,,Indo Lighting Jakut,Kota Administrasi Jakarta Utara,100+ terjual,0 ulasan,4.9,68.0,https://www.tokopedia.com/search?st=product&q=lampu%20sensor%20gerak%20magnetic,,,,,,,,,,
5/14/2023,21:15,Dapet Rezeki Cashback Ovo Paylater Mumpung Lebih Dari Ekspektasi,Pendapatan,1920000.0,Pemasukan,BCA Virtual Account,Online,Berhasil,Android 12,kembalian ambil aja,,,,,,,,,,,,,,,,,
3/10/2024,7:58,Kartu Kredit Bca Everyday Bulan Ini Lunas,Tagihan,,Pengeluaran,Gopay,Tangerang,Gagal,iOS 16,kembalian ambil aja,,,,,,,,,,,,,,,,,
,,Piring Keramik 6,Belanja,10450.0,,,,,,,Best & Smart,Kota Administrasi Jakarta Utara,1rb+ terjual,18 ulasan,4.9,1.0,https://www.tokopedia.com/bestsmart/piring-keramik-6-inch-15cm-cekung-piring-tambah-piring-tatak-list,,,,,,,,,,
3/29/2023,09:11,Check-Up Urut Tradisional Keseleo Musim Hujan Rawan Sakit,Kesehatan,15752.0,Pengeluaran,GOPAY,Online,Berhasil,Android 12,pake promo,,,,,,,,,,,,,,,,,
3/17/2023,17:50,Kembalian Warung Nasi Alhamdulillah Cair,Pendapatan,,Pemasukan,qris,,Gagal,Android 12,,,,,,,,,,,,,,,,,,
9/16/2023,14:58,"Di Spbu Pertamina, Naik Maxim Bike",Transportasi,4441.0,Pengeluaran,ShopeePay,Bekasi,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
10/21/2023,8:22,Vitamin C Ipi Botol Kecil Lagi Pusing Berat Nugas,Kesehatan,102000.0,Pengeluaran,BCA Virtual Account,JAKARTA,Gagal,Android 13,,,,,,,,,,,,,,,,,,
,,Beli POLYTRON Kitchenmate Oven Listrik,Tagihan,949000.0,,,,,,,Polytron Official,Jakarta,100+ terjual,282 ulasan,5.0,0.0,https://www.tokopedia.com/polytron/polytron-kitchenmate-oven-listrik-low-watt-33-liter-peo-33b1b,,,,,,,,,,
2/2/2024,23:09,Ganti Service Ac Kosan Gak Dingin Dan Uang Kas Karang Taruna Komplek,Tempat Tinggal,591000.0,Pengeluaran,ovo,Bandung,Berhasil,iOS 16,,,,,,,,,,,,,,,,,,
,,checkout semen gresik 40,Belanja,59000.0,,,,,,,Material Bekasi Jaya,Bekasi,250+ terjual,250 ulasan,5.0,0.0,https://www.tokopedia.com/search?st=product&q=semen+gresik+40kg,,,,,,,,,,
,,beli sorban bhs classic original,Transportasi,195000.0,,,,,,,Asco Kartini,Jakarta Pusat,135 terjual,50 ulasan,4.8,0.0,https://www.tokopedia.com/ascokartini/sorban-bhs-classic-original-premium-motif-jacquard-panjang-2,,,,,,,,,,
,,order cilok gajahan deket kantor,Konsumsi,135000.0,Pengeluaran,,,,,,,,,,,,,dbdcf090-08dc-4bcd-b11c-6d254e711a3d,pedasss banget sambal nya🔥🔥,4.0,2023-08-31T15:15:57.918039+07:00,,2.0,2023-08-31T07:34:23.748283Z,CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE,,
12/8/2023,4:27,Kasih Bungkus Kado Temen Ultah,Lain-lain,,Pengeluaran,CASH,Surabaya,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
,,Beli 【BPOM Certification】ONLYOU Sunscreen Cream,Belanja,54300.0,,,,,,,ONLYOU Store,Jakarta,9rb+ terjual,6000 ulasan,4.9,54.0,https://www.tokopedia.com/onlyoustore/bpom-onlyou-sunscreen-cream-pelembap,,,,,,,,,,
,,Deodoran spray herbal,Kesehatan,25000.0,,,,,,,SUKA LARIS SHOP,Kota Bandung,500+ terjual,100+ ulasan,4.8,0.0,https://www.tokopedia.com/sukalarisshop/deodoran-spray-herbal-penghilang-bau-badan-alnaatur,,,,,,,,,,
,,Keyboard Gaming RGB,Belanja,72900.0,,,,,,,Campaign Shop,Jakarta Utara,21 terjual,21 ulasan,4.4,0.0,https://www.tokopedia.com/search?q=keyboard%20rgb%20murah,,,,,,,,,,
,,Order SALSA Lip Glow Serum,Kesehatan,19500.0,,,,,,,Salsa Cosmetic,Surabaya,10rb+ terjual,8.5k ulasan,4.8,24.0,https://www.tokopedia.com/salsacosmetic/promo-salsa-lip-glow-serum-moisturizing-serum-pelembap-bibir,,,,,,,,,,
2/12/2023,16:49,Gofood Nasi Padang Lauk Rendang Dan Mie Ayam Pangsit Yamin,Konsumsi,67000.0,Pengeluaran,qris,Jakarta,Berhasil,iOS 16,,,,,,,,,,,,,,,,,,
2/19/2022,10:56,Gaji Bagi Hasil Bisnis Temen Buat Jajan Bulan Ini,Pendapatan,11891.0,Pemasukan,QRIS,Tangerang,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
12/14/2023,12:59,"Udah Jatuh Tempo H-1, Tagihan Akulaku Cicilan Hp",Tagihan,474000.0,Pengeluaran,qris,SBY,Berhasil,Windows Web,,,,,,,,,,,,,,,,,,
3/1/2023,14:50,Makan Siang Kopi Susu Gula Aren Dan Ayam Bakar Taliwang,Konsumsi,225000.0,Pengeluaran,ovo,JAKARTA,Pending,iOS 17,,,,,,,,,,,,,,,,,,
12/19/2023,23:24,Celana Chino Cream Buat Kado Temen,Belanja,720000.0,Pengeluaran,ovo,SBY,Gagal,Android 13,kembalian ambil aja,,,,,,,,,,,,,,,,,
2/15/2023,3:42,Borong Pewangi Downy Mystique Mumpung Buat Pake Kuliah,Belanja,1082000.0,Pengeluaran,ovo,Online,Berhasil,Android 12,titip satpam,,,,,,,,,,,,,,,,,
6/19/2024,15:40,Beli Tiket Chatgpt Plus Ai Sekali-Kali Boros,Hiburan,56367.0,Pengeluaran,Transfer Bank,Bandung,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
10/3/2023,10:52,Transaksi Lainnya,,,Pemasukan,QRIS,JAKARTA,Berhasil,Android 12,titip satpam,,,,,,,,,,,,,,,,,
7/5/2023,13:59,Ngelunasin Bpjs Kesehatan Kelas 3 Otomatis Potong Saldo,Tagihan,,Pengeluaran,Cash,Online,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
11/26/2023,23:20,Materai 10000 Kantor Pos Wajib Banget Dibayar,Lain-lain,477000.0,Pengeluaran,Mandiri,tangsel,Berhasil,Windows Web,,,,,,,,,,,,,,,,,,
3/16/2023,20:01,Cair Uang Jual Akun Ml Mythic Udah Potong Pajak,Pendapatan,7265000.0,Pemasukan,BCA Virtual Account,Depok,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
5/3/2022,10:58,"Gak Nyangka Dapet Segini, Bonus Joki Tugas Skripsi",Pendapatan,231841.0,Pemasukan,ShopeePay,Tangerang,Berhasil,Android 12,pake promo,,,,,,,,,,,,,,,,,
,,Nge-grab Paket Ayam,Konsumsi,33000.0,Pengeluaran,,,,,,,,,,,,,5a752078-51df-4e95-9124-30218b7baf8f,"pernah gofud jhouse dr jogja bawah ke jakal masih panas. sedangkan, ini sm"" jakal tp ntah knp ayamnya dingin😭 jadi kurang crispy gtu ayamnya. yg anget nasinya doang. selebihnya rasa ayam jhouse ttp enak spt biasa.",3.0,2023-03-29T22:35:52.876822+07:00,,2.0,2023-03-28T10:26:08.612556Z,,,
10/28/2022,17:07,Setor Akulaku Cicilan Hp Pas Via Mbanking Bca,Tagihan,149793.0,Pengeluaran,QRIS,Bekasi,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
,,Order POP MIE Mini Snek,Konsumsi,12900.0,,,,,,,Oscarmart,Jakarta Selatan,30+ terjual,0,5.0,0.0,https://www.tokopedia.com/oscarmart/pop-mie-mini-snek-time-1-dus,,,,,,,,,,
,,kichi batik outer,Belanja,329000.0,,,,,,,Batik Reunceum,Kota Bandung,16 terjual,0 ulasan,5.0,0.0,https://www.tokopedia.com/batikreunceum/kichi-batik-outer-batik-kala,,,,,,,,,,
12/30/2023,13:59,Biaya Uang Kas Kelas Bendahara,Lain-lain,250576.0,Pengeluaran,OVO,Jakarta,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
,,Nyobain Sop Buntut Bu Sari deket kosan,Konsumsi,92000.0,Pengeluaran,,,,,,,,,,,,,03d1295c-6a9e-4f55-b20d-9d4968d1c668,Rasanya tidak berubah selalu enak,5.0,2023-11-18T10:24:28.709159+07:00,,2.0,2023-09-24T05:13:17.67641Z,,,
3/16/2021,09:24,Ganti Sewa Kosan Ac Bulanan Karena Titip Ibu Kos Di Depan,Tempat Tinggal,57746.0,Pengeluaran,Cash,Tangerang,Pending,Android 13,buat laporan,,,,,,,,,,,,,,,,,
7/29/2023,13:03,Nyetok Sunscreen Azarine Dan Kopi Sachet Nescafe,Belanja,,Pengeluaran,Mandiri,,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
19/04/2024,22:04,Nambah Koleksi Parfum Lokal Hmns,Belanja,540000.0,Pengeluaran,BCA Virtual Account,Depok,Berhasil,Android 12,warna hitam,,,,,,,,,,,,,,,,,
6/15/2023,19:07,Beli Tolak Angin Cair 5 Sachet,Kesehatan,15577.0,Pengeluaran,QRIS,Tangerang,Berhasil,iOS 17,,,,,,,,,,,,,,,,,,
5/12/2024,10:45,Konsul Minyak Kayu Putih Cap Lang,Kesehatan,11695.0,Pengeluaran,Transfer Bank,Bekasi,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
,,checkout kompor listrik maspion s302|,Transportasi,189000.0,,,,,,,Toped Kita,Kab. Cilacap,1 terjual,0 ulasan,5.0,0.0,https://www.tokopedia.com/topedkita/kompor-listrik-maspion-s302,,,,,,,,,,
6/1/2024,06:02,"Buat Stok Sebulan, Biaya Laundry Kiloan Express",Tempat Tinggal,175695.0,Pengeluaran,OVO,Jakarta,Berhasil,Android 14,,,,,,,,,,,,,,,,,,
,,wellen print -,Belanja,136800.0,,,,,,,Wellen Print Official Store,Indonesia,0 terjual,241 ulasan,5.0,0.0,https://www.tokopedia.com/wellenprint/wellen-print-cetak-spanram-foto-ukuran-40x60-cm-print-photo-kanvas,,,,,,,,,,
7/3/2023,15:35,Transaksi Lainnya,,272000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Windows Web,,,,,,,,,,,,,,,,,,
,,Beli KULKAS 2 PINTU CHANGHONG,Belanja,2009000.0,,,,,,,Silengkap Elektronik,Kota Administrasi Jakarta Barat,750+ terjual,750+ ulasan,4.9,0.0,https://www.tokopedia.com/p/elektronik/perangkat-dapur/kulkas,,,,,,,,,,
,,Order Pisau Blender Philips,Belanja,105000.0,,,,,,,Senjaya Baru,Kota Depok,250+ terjual,,4.8,0.0,https://www.tokopedia.com/search?st=product&q=Pisau%20Blender%20Philips%20HR%202115%20-%202116%20-%202061%20-%202071%20-%20Original%20Philips,,,,,,,,,,
2/30/2023,21:58,Nabung Reksadana Sucorinvest Equity Pas Diversifikasi Biar Aman,Investasi,1262054.0,Pengeluaran,LinkAja,Jakarta,Berhasil,Android 13,,,,,,,,,,,,,,,,,,
,,gofood paket geprek es pake grab,Konsumsi,128000.0,Pengeluaran,,,,,,,,,,,,,6d020a3f-e4a4-44a6-b18a-fe40a4beffc9,Rasanya enak dan harganya murah,5.0,2023-11-19T12:29:46.557844+07:00,,1.0,2023-11-19T04:43:44.932152Z,CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
2/30/2023,10:45,Beli Bensin Tambal Ban Tubeless Dan Bensin Pertalite Spbu,Transportasi,91269.0,Pengeluaran,OVO,Online,Berhasil,Android 13,buat laporan,,,,,,,,,,,,,,,,,
2/21/2023,21:39,Fee Joki Tugas Skripsi Hasil Begadang Semalaman,Pendapatan,,Pemasukan,ovo,,Berhasil,Android 12,,,,,,,,,,,,,,,,,,
,,beli kipas angin meja,Transportasi,126175.0,,,,,,,Cv. BINTANG MULIA,Kota Yogyakarta,40+ terjual,40 ulasan,5.0,0.0,https://www.tokopedia.com/bintangmulia/kipas-angin-meja-maspion-f-15-da-6-inch,,,,,,,,,,
